Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
The Lancet. Child & adolescent health.,Lancet Child Adolesc Health,2352-4642,2352-4650,England,Pediatrics,2017,101712925
BMJ paediatrics open.,BMJ Paediatr Open,,2399-9772,England,Pediatrics,2017,101715309
JAMA pediatrics.,JAMA Pediatr,2168-6203,2168-6211,United States,Pediatrics,2013,101589544
Pediatrics and neonatology.,Pediatr Neonatol,1875-9572,2212-1692,Singapore,Pediatrics,2008,101484755
Academic pediatrics.,Acad Pediatr,1876-2859,1876-2867,United States,Pediatrics,2009,101499145
Italian journal of pediatrics.,Ital J Pediatr,,1824-7288,England,Pediatrics,2008,101510759
Hospital pediatrics.,Hosp Pediatr,2154-1663,2154-1671,United States,Pediatrics,2007,101585349
World journal of pediatrics : WJP.,World J Pediatr,1708-8569,1867-0687,Switzerland,Pediatrics,2005,101278599
Archives of disease in childhood. Education and practice edition.,Arch Dis Child Educ Pract Ed,1743-0585,1743-0593,England,Pediatrics,2004,101220684
Current pediatric reviews.,Curr Pediatr Rev,1573-3963,1875-6336,United Arab Emirates,Pediatrics,2005,101240290
Anales de pediatria.,An Pediatr (Engl Ed),,2341-2879,Spain,Pediatrics,2003,101765626
BMC pediatrics.,BMC Pediatr,,1471-2431,England,Pediatrics,2001,100967804
Pediatrics international : official journal of the Japan Pediatric Society.,Pediatr Int,1328-8067,1442-200X,Australia,Pediatrics,1999,100886002
Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics.,Zhongguo Dang Dai Er Ke Za Zhi,1008-8830,2096-9228,China,Pediatrics,1999,100909956
Child maltreatment.,Child Maltreat,1077-5595,1552-6119,United States,Pediatrics,1996,9602869
Archives de pédiatrie : organe officiel de la Sociéte française de pédiatrie.,Arch Pediatr,0929-693X,1769-664X,France,Pediatrics,1994,9421356
Acta paediatrica.,Acta Paediatr,0803-5253,1651-2227,Norway,Pediatrics,1992,9205968
The Journal of adolescent health : official publication of the Society for Adolescent Medicine.,J Adolesc Health,1054-139X,1879-1972,United States,Pediatrics,1991,9102136
Current opinion in pediatrics.,Curr Opin Pediatr,1040-8703,1531-698X,United States,Pediatrics,1989,9000850
Journal of paediatrics and child health.,J Paediatr Child Health,1034-4810,1440-1754,Australia,Pediatrics,1990,9005421
International journal of adolescent medicine and health.,Int J Adolesc Med Health,0334-0139,2191-0278,Germany,Pediatrics,1985,8506960
Revista paulista de pediatria : orgão oficial da Sociedade de Pediatria de São Paulo.,Rev Paul Pediatr,0103-0582,1984-0462,Brazil,Pediatrics,1983,9109353
Journal of adolescence.,J Adolesc,0140-1971,1095-9254,England,Pediatrics,1978,7808986
Pediatrics in review,Pediatr Rev,0191-9601,1526-3347,United States,Pediatrics,1979,8103046
"Child: care, health and development.",Child Care Health Dev,0305-1862,1365-2214,England,Pediatrics,1975,7602632
European journal of pediatrics.,Eur J Pediatr,0340-6199,1432-1076,Germany,Pediatrics,1975,7603873
Child abuse & neglect.,Child Abuse Negl,0145-2134,1873-7757,England,Pediatrics,1977,7801702
Klinische Pädiatrie.,Klin Padiatr,0300-8630,1439-3824,Germany,Pediatrics,1972,0326144
Pediatric annals.,Pediatr Ann,0090-4481,1938-2359,United States,Pediatrics,1972,0356657
Pediatric research.,Pediatr Res,0031-3998,1530-0447,United States,Pediatrics,1967,0100714
Indian pediatrics.,Indian Pediatr,0019-6061,0974-7559,India,Pediatrics,1964,2985062R
